日期,股票代码,竞价价格,昨收价格,成交量,成交额,时间戳
2026-02-13,301018.SZ,88.95,88.94,17249,150085400,2026-02-13T09:31:06.920532
2026-02-13,300582.SZ,17.3,17.18,2132,3699100,2026-02-13T09:31:06.917482
2026-02-13,002194.SZ,12.75,12.71,2785,3540900,2026-02-13T09:31:06.910313
2026-02-13,603629.SH,60.99,59.96,17348,104700600,2026-02-13T09:31:06.898793
2026-02-13,601112.SH,19.96,20.04,6075,12093400,2026-02-13T09:31:06.895780
2026-02-13,301200.SZ,150.28,151.7,954,14276800,2026-02-13T09:31:06.921807
2026-02-13,688627.SH,275.99,276,553,15174600,2026-02-13T09:31:06.903348
2026-02-13,300673.SZ,17.47,17.46,313,547800,2026-02-13T09:31:06.917482
2026-02-13,688429.SH,16.61,16.78,1441,2392600,2026-02-13T09:31:06.903348
2026-02-13,002775.SZ,4.36,4.35,2489,1083100,2026-02-13T09:31:06.913325
2026-02-13,600422.SH,12.41,12.41,958,1188900,2026-02-13T09:31:06.892754
2026-02-13,001288.SZ,37.8,37.39,1371,5103300,2026-02-13T09:31:06.908805
2026-02-13,688317.SH,21.11,21.04,212,447200,2026-02-13T09:31:06.901830
2026-02-13,300670.SZ,7.12,7.15,2597,1845700,2026-02-13T09:31:06.917482
2026-02-13,002364.SZ,34.59,34.97,27584,94832500,2026-02-13T09:31:06.910313
2026-02-13,002388.SZ,5.68,5.64,3279,1852600,2026-02-13T09:31:06.910313
2026-02-13,605179.SH,20.22,19.95,1458,2943500,2026-02-13T09:31:06.900298
2026-02-13,002197.SZ,9.34,9.2,12156,11301400,2026-02-13T09:31:06.910313
2026-02-13,688102.SH,38.46,38.33,2872,10967700,2026-02-13T09:31:06.901830
2026-02-13,300021.SZ,4.7,4.7,4780,2242400,2026-02-13T09:31:06.914830
2026-02-13,002731.SZ,9.23,9.72,1230,1135300,2026-02-13T09:31:06.913325
2026-02-13,688718.SH,14.65,14.8,380,559100,2026-02-13T09:31:06.904884
2026-02-13,300026.SZ,3.65,3.65,16636,6074100,2026-02-13T09:31:06.914830
2026-02-13,603226.SH,28.75,28.85,397,1141200,2026-02-13T09:31:06.897285
2026-02-13,300033.SZ,341.61,342.11,2411,82632400,2026-02-13T09:31:06.914830
2026-02-13,000933.SZ,30.25,31.06,13595,41362900,2026-02-13T09:31:06.907282
2026-02-13,002836.SZ,14.75,14.82,720,1068600,2026-02-13T09:31:06.913325
2026-02-13,300303.SZ,7.45,7.46,24228,17934000,2026-02-13T09:31:06.916970
2026-02-13,301266.SZ,49.3,49.74,535,2641400,2026-02-13T09:31:06.921807
2026-02-13,688329.SH,26.5,26.2,1975,5218300,2026-02-13T09:31:06.901830
2026-02-13,688722.SH,21.43,21.48,1118,2393500,2026-02-13T09:31:06.904884
2026-02-13,300612.SZ,19.56,19.44,7656,15010300,2026-02-13T09:31:06.917482
2026-02-13,688377.SH,42.11,43,306,1295200,2026-02-13T09:31:06.903348
2026-02-13,600845.SH,24.09,24.24,16115,38553200,2026-02-13T09:31:06.894273
2026-02-13,688001.SH,32.92,33.15,533,1754300,2026-02-13T09:31:06.900298
2026-02-13,600714.SH,15.4,15.65,3263,5043000,2026-02-13T09:31:06.894273
