stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
600051.SH,0.713,0.731,0.744,0.62,1.72,1.168,1.173,-2.08,False,False,False
605090.SH,2.22,1.461,1.473,6.55,0.841,1.387,1.43,0.33,True,False,False
600025.SH,1.188,1.24,1.274,1.08,3.134,2.36,2.481,2.88,False,False,False
601222.SH,0.664,0.804,0.826,0.97,0.976,0.948,0.97,-0.96,False,False,False
688031.SH,0.945,1.09,1.194,6.01,1.015,0.927,1.092,3.23,False,False,False
603335.SH,1.115,1.022,1.041,-1.11,2.575,1.356,1.334,-4.33,False,False,False
688045.SH,0.549,0.46,0.427,0.26,1.343,0.65,0.598,-3.66,False,False,False
603341.SH,0.843,1.024,1.028,0.49,0.814,1.017,0.998,-3.85,False,False,False
600967.SH,0.443,0.911,0.911,-0.17,1.145,3.347,3.492,5.42,False,False,False
603237.SH,1.201,1.208,1.218,1.73,1.517,1.307,1.307,-1.65,True,False,False
688528.SH,0.608,1.202,1.241,-0.08,2.02,2.052,2.057,-4.41,False,False,False
688133.SH,0.365,0.433,0.42,-0.2,1.32,0.901,0.851,-3.98,False,False,False
603658.SH,0.405,0.497,0.485,0.36,0.959,0.861,0.83,-1.49,False,False,False
600865.SH,0.473,0.431,0.393,1.19,0.547,0.505,0.456,-1.88,False,False,False
688147.SH,0.546,0.752,0.834,-0.02,0.604,0.786,0.871,-1.41,False,False,False
605589.SH,0.692,1.134,1.221,-3.17,2.231,2.079,2.336,6.42,False,True,False
600153.SH,0.81,0.676,0.691,1.15,0.937,0.835,0.852,0.1,False,False,False
600548.SH,1.104,0.737,0.73,1.01,0.95,0.937,0.93,-0.33,False,False,False
688805.SH,1.249,1.387,1.403,0.58,0.906,1.081,1.076,-0.59,True,False,False
600127.SH,0.791,0.543,0.524,1.2,2.288,1.906,1.915,3.7,False,False,False
688343.SH,2.721,3.059,3.701,20.0,0.697,1.845,2.238,-4.77,True,False,False
688758.SH,0.642,0.696,0.724,-2.38,1.204,1.369,1.422,-0.2,False,False,False
603033.SH,0.591,0.528,0.523,-1.69,1.096,0.822,0.788,-3.71,False,False,False
603999.SH,0.795,0.806,0.799,1.02,1.038,0.98,0.936,-4.94,False,False,False
688337.SH,0.908,1.052,1.169,0.24,0.898,1.282,1.441,-1.68,False,False,False
600738.SH,0.619,0.691,0.672,0.0,1.474,1.283,1.211,-3.96,False,False,False
600323.SH,1.58,1.557,1.551,2.63,1.694,1.852,1.884,2.03,True,False,False
601866.SH,0.881,1.269,1.348,0.69,2.064,2.743,2.951,1.37,False,False,False
600221.SH,0.803,1.063,1.055,1.19,1.116,1.632,1.573,-4.12,False,False,False
600255.SH,0.459,0.52,0.512,1.01,0.774,0.736,0.717,-1.25,False,False,False
605208.SH,0.745,0.673,0.669,1.24,1.532,1.199,1.166,-4.26,False,False,False
601026.SH,0.677,0.783,0.788,-0.82,2.378,3.01,3.105,3.51,False,False,False
688235.SH,1.488,1.423,1.31,-2.18,1.209,1.812,1.63,-2.66,True,False,False
603131.SH,0.554,0.668,0.678,-0.51,1.412,1.115,1.143,0.91,False,False,False
601801.SH,1.043,0.995,0.999,0.87,1.394,1.463,1.462,-0.29,False,False,False
