stock_code,open,prev_close,open_change_pct,volume,amount,auction_power,bidVol1,askVol1
301680.SZ,126.0,58.0,117.24137931034481,129529,1700104500,80.30298418532774,0,0
301388.SZ,38.06,37.76,0.7944915254237402,129364,514811600,49.444456825598714,0,0
300323.SZ,11.51,10.25,12.292682926829267,3492782,4107579900,40.587606970569155,0,0
002490.SZ,12.81,12.7,0.8661417322834741,2076427,2726712400,39.292868085641295,0,0
301638.SZ,25.01,23.65,5.750528541226228,746650,2044991800,34.79739121885368,0,0
300423.SZ,11.58,11.58,0.0,1079928,1222719200,31.6740833900172,0,0
002339.SZ,12.98,12.69,2.2852639873916543,1461258,1907850800,30.6987983274656,0,0
301120.SZ,27.04,26.7,1.2734082397003739,589371,1645323300,27.83268737580454,0,0
002272.SZ,21.01,21.01,0.0,1086817,2256524500,27.788975701129942,0,0
300265.SZ,21.87,21.46,1.910531220876049,1324070,2765493600,27.059919760203822,0,0
301362.SZ,113.33,112.6,0.648312611012437,78376,881779700,26.223923019683177,0,0
300444.SZ,17.74,17.73,0.05640157924420761,1562195,2793355800,25.33779137423679,0,0
300427.SZ,14.8,14.79,0.06761325219744127,1204514,1882683700,25.289686272016525,0,0
000862.SZ,7.4,7.31,1.2311901504788063,1440432,1086919200,23.389915774212195,0,0
000545.SZ,3.41,3.41,0.0,2105688,775213200,23.070279583012614,0,0
300658.SZ,27.74,27.43,1.1301494713816942,499814,1437680700,22.98171585304341,0,0
002842.SZ,43.07,41.82,2.9890004782400763,601804,2618641000,22.647369739244212,0,0
600744.SH,9.040000000000001,9.04,1.964996503761339e-14,4517477,4122293200,22.45091010889825,0,0
300617.SZ,67.14,65.1,3.1336405529954017,286869,1999737500,21.439528857956294,0,0
301668.SZ,55.98,55.68,0.5387931034482708,48115,276369300,21.420145449297834,0,0
000890.SZ,9.15,9.15,0.0,909035,814809600,21.228159780124773,0,0
001396.SZ,52.27,50.82,2.8532073986619495,45248,229832500,19.800047508032357,0,0
301317.SZ,54.5,54.35,0.2759889604415797,98566,560406800,19.699879641857375,0,0
002506.SZ,5.07,5.05,0.3960396039604052,10919285,5816783200,19.630558772763987,0,0
002606.SZ,14.3,14.0,2.142857142857148,818898,1156363600,19.20126153456401,0,0
001696.SZ,23.25,23.22,0.12919896640827364,1550010,3878666200,18.71490743524557,0,0
002173.SZ,29.24,29.24,0.0,735403,2244591400,18.43948894984671,0,0
301577.SZ,66.61,66.61,0.0,33966,231019900,18.407823244026726,0,0
001282.SZ,24.32,24.32,0.0,138366,347888300,18.300587475032508,0,0
603269.SH,15.94,15.4,3.506493506493501,545852,900414600,18.295520021359124,0,0
300153.SZ,37.4,36.99,1.1084076777507341,537248,2107952000,17.70563002184307,0,0
002380.SZ,36.55,36.53,0.05474952094168087,233858,902805100,17.425199714515657,0,0
300490.SZ,17.37,17.16,1.2237762237762286,628240,1169229200,17.117022376841096,0,0
688807.SH,243.99,239.06,2.0622437881703366,25790,625498200,17.050285531949008,0,0
603618.SH,21.0,20.82,0.8645533141210362,1238642,2450984500,16.881351456145023,0,0
002885.SZ,32.42,32.3,0.3715170278637912,383220,1263175100,16.87377363363388,0,0
300040.SZ,7.56,7.55,0.132450331125825,824146,637303400,16.293640254332136,0,0
300365.SZ,6.52,6.42,1.5576323987538885,788577,540756900,16.207579641732533,0,0
002513.SZ,6.86,6.85,0.14598540145986388,436190,321136300,16.195910894463317,0,0
300713.SZ,19.54,19.39,0.7735946364105135,143687,280789700,16.126351639894256,0,0
000509.SZ,3.65,3.63,0.5509641873278243,1664844,631275900,16.11669957497274,0,0
688176.SH,14.14,13.98,1.1444921316165961,610777,977989800,15.874913289783207,0,0
002364.SZ,33.3,32.82,1.4625228519195517,831751,2944776300,15.845032242879123,0,0
688186.SH,29.39,29.15,0.8233276157804528,437964,1298007700,15.745675518059679,0,0
002195.SZ,10.77,10.69,0.7483629560336771,8684308,9381003400,15.550620577042231,0,0
001400.SZ,115.9,114.45,1.2669287898645722,22166,270232700,15.54401495542134,0,0
301665.SZ,29.79,29.5,0.9830508474576243,57991,177091200,15.541575341113283,0,0
002733.SZ,24.97,24.48,2.0016339869280984,588324,1419768900,15.414672638215823,0,0
603778.SH,15.86,15.55,1.993569131832789,943783,1570417400,15.402720771552797,0,0
300351.SZ,20.1,19.8,1.5151515151515187,422941,812200100,15.340300678857236,0,0
600860.SH,16.11,15.86,1.5762925598991173,677871,1086178500,15.183881192987169,0,0
000833.SZ,24.03,23.93,0.41788549937317765,646185,1619723700,14.856497953953996,0,0
301291.SZ,59.16,58.58,0.9900990099009872,233206,1411060800,14.756280476873052,0,0
000592.SZ,12.21,12.2,0.08196721311476692,2806643,3424508500,14.645116833079145,0,0
301557.SZ,93.43,92.92,0.5488592337494674,24785,242970600,14.638701550947141,0,0
002546.SZ,10.82,10.81,0.09250693802034955,1111163,1247137200,14.385621680662503,0,0
000815.SZ,15.17,14.83,2.2926500337154407,961485,1508224600,14.299843991304998,0,0
300062.SZ,9.33,9.29,0.4305705059203545,643482,606340500,14.175703291613582,0,0
301349.SZ,43.74,43.64,0.22914757103575026,63393,298578600,13.957440203453977,0,0
002449.SZ,9.39,8.76,7.191780821917818,885923,801100400,13.794237019405465,0,0
002235.SZ,10.62,10.62,0.0,766155,807260300,13.731248253076798,0,0
002470.SZ,2.6,2.6,0.0,4191672,1170273000,13.69870135778525,0,0
002927.SZ,21.0,20.99,0.047641734159130845,286498,629637500,13.582963021598443,0,0
000988.SZ,106.75,106.61,0.13131976362442602,1296931,14352474400,13.378241566217438,0,0
603616.SH,7.17,7.17,0.0,494174,364800900,13.239581936407548,0,0
001225.SZ,59.21,59.05,0.27095681625741525,27306,164081100,13.171738196460172,0,0
603738.SH,23.78,23.72,0.25295109612142613,508968,1208413500,13.168703408076473,0,0
300491.SZ,27.65,27.47,0.655260283946122,193749,563394800,13.062373951157054,0,0
603220.SH,27.0,25.79,4.691740984877863,559135,1527952800,13.031547712121402,0,0
301220.SZ,35.56,35.49,0.1972386587771211,88518,348839700,12.603438742439263,0,0
300816.SZ,65.1,64.5,0.930232558139526,67846,462020700,12.52385941741608,0,0
000525.SZ,6.88,6.88,0.0,1355355,952086500,12.447350604024871,0,0
000035.SZ,7.75,7.44,4.166666666666661,2810955,2203473500,12.292088038196908,0,0
603683.SH,23.64,23.64,0.0,325672,822067500,12.10346258237591,0,0
002378.SZ,43.43,41.8,3.8995215311004845,1394767,6242309000,12.02661536895073,0,0
301468.SZ,68.54,66.97,2.344333283559814,88840,609706400,11.860426329560283,0,0
301386.SZ,28.39,28.18,0.7452093683463479,50750,143479200,11.774803862073258,0,0
300468.SZ,35.49,35.49,0.0,598862,2192093500,11.658588831763293,0,0
301027.SZ,20.83,20.53,1.4612761811982324,132567,281675600,11.436341201279081,0,0
002986.SZ,16.01,16.01,0.0,336498,552004400,11.422945267465282,0,0
300364.SZ,28.87,28.51,1.2627148368993315,745315,2161534100,11.337068317691013,0,0
301548.SZ,81.7,81.43,0.3315731302959548,28180,241080100,11.247565626785864,0,0
688662.SH,64.15,62.72,2.2799744897959293,94958,634736200,11.213239736593106,0,0
002383.SZ,12.8,12.79,0.07818608287726007,812313,1050124500,11.081223021877165,0,0
601179.SH,18.6,18.11,2.7056874654886913,5516589,10471511800,10.983172587967816,0,0
300209.SZ,7.86,7.74,1.5503875968992262,735726,613482300,10.964139518782217,0,0
301180.SZ,19.49,19.35,0.7235142118862894,174664,347296500,10.85623972810518,0,0
688031.SH,223.22,223.21,0.0044800860176474645,119520,2907073400,10.75102732875763,0,0
601616.SH,5.61,5.6,0.17857142857144065,854670,512143600,10.69390109612624,0,0
002246.SZ,23.83,23.82,0.04198152812761549,566565,1396763600,10.675764831296556,0,0
000510.SZ,20.05,19.89,0.8044243338360991,628214,1280674700,10.528721640917528,0,0
688096.SH,9.44,9.44,0.0,237666,232988100,10.456059274597408,0,0
603773.SH,39.68,39.67,0.025207965717161607,234081,930213700,10.438516122927401,0,0
300393.SZ,11.92,11.76,1.360544217687076,979442,1181260700,10.367039280043851,0,0
002136.SZ,13.73,13.71,0.14587892049598522,212782,303179200,10.2965361857422,0,0
600545.SH,4.0,3.77,6.10079575596817,1782960,730192500,10.210127922040684,0,0
002498.SZ,9.540000000000001,8.94,6.711409395973171,3317814,3225933000,10.16437777391662,0,0
601778.SH,4.69,4.69,0.0,3498394,1687531000,10.076019259808318,0,0
301626.SZ,254.8,248.99,2.3334270452628627,51412,1344608500,10.028912793611147,0,0
