time,open,high,low,close,volume,amount,time_str
1762911000000,36.15,36.15,36.15,36.15,1802,6513796.0,2025-11-12 09:30:00
1762911060000,36.160000000000004,36.290000000000006,36.09,36.230000000000004,7847,28377287.0,2025-11-12 09:31:00
1762911120000,36.25,36.31,36.07,36.07,4989,18055585.0,2025-11-12 09:32:00
1762911180000,36.08,36.09,35.92,35.940000000000005,2296,8272694.000000001,2025-11-12 09:33:00
1762911240000,36.0,36.080000000000005,35.99,36.080000000000005,3119,11240148.0,2025-11-12 09:34:00
1762911300000,36.06,36.07,35.97,36.03,1906,6862203.0,2025-11-12 09:35:00
1762911360000,36.03,36.05,35.97,35.97,2480,8936240.0,2025-11-12 09:36:00
1762911420000,35.949999999999996,36.04,35.94,35.949999999999996,2947,10603360.0,2025-11-12 09:37:00
1762911480000,35.96,35.96,35.85,35.88,2819,10123663.0,2025-11-12 09:38:00
1762911540000,35.86000000000001,35.900000000000006,35.800000000000004,35.88,5229,18737926.0,2025-11-12 09:39:00
1762911600000,35.88,35.910000000000004,35.77,35.800000000000004,3511,12580538.0,2025-11-12 09:40:00
1762911660000,35.81,35.85,35.81,35.82,1943,6961762.0,2025-11-12 09:41:00
1762911720000,35.82,35.82,35.65,35.75,6090,21758950.0,2025-11-12 09:42:00
1762911780000,35.7,35.830000000000005,35.7,35.830000000000005,3171,11346905.0,2025-11-12 09:43:00
1762911840000,35.84,35.970000000000006,35.84,35.910000000000004,2497,8972415.0,2025-11-12 09:44:00
1762911900000,35.92,35.92,35.82,35.86,1268,4549323.0,2025-11-12 09:45:00
1762911960000,35.86,35.92,35.82,35.82,2569,9218412.0,2025-11-12 09:46:00
1762912020000,35.83,35.910000000000004,35.82,35.89,3156,11317726.000000002,2025-11-12 09:47:00
1762912080000,35.870000000000005,35.900000000000006,35.800000000000004,35.89000000000001,2714,9729312.000000002,2025-11-12 09:48:00
1762912140000,35.88,35.93,35.88,35.910000000000004,1422,5106164.0,2025-11-12 09:49:00
1762912200000,35.91,35.93,35.9,35.9,1709,6137774.0,2025-11-12 09:50:00
1762912260000,35.92,35.99,35.86,35.91,2906,10435701.000000002,2025-11-12 09:51:00
1762912320000,35.9,35.98,35.9,35.93,1117,4014770.0,2025-11-12 09:52:00
1762912380000,35.92,35.92,35.81,35.85,2476,8878482.0,2025-11-12 09:53:00
1762912440000,35.86,35.940000000000005,35.85,35.9,2406,8630386.000000002,2025-11-12 09:54:00
1762912500000,35.88,35.88,35.82,35.82,1956,7011482.0,2025-11-12 09:55:00
1762912560000,35.82,35.86,35.79,35.83,3475,12445812.0,2025-11-12 09:56:00
1762912620000,35.84,35.84,35.800000000000004,35.800000000000004,2392,8566661.0,2025-11-12 09:57:00
1762912680000,35.82,35.82,35.7,35.71,3144,11248113.0,2025-11-12 09:58:00
1762912740000,35.71,35.81,35.7,35.800000000000004,2995,10704425.0,2025-11-12 09:59:00
1762912800000,35.78,35.83,35.78,35.79,1710,6122385.0,2025-11-12 10:00:00
1762912860000,35.79,35.97,35.79,35.93,2705,9706226.0,2025-11-12 10:01:00
1762912920000,35.94,36.04,35.94,36.019999999999996,3008,10828920.0,2025-11-12 10:02:00
1762912980000,36.03,36.25,36.03,36.18,3974,14373112.0,2025-11-12 10:03:00
1762913040000,36.16,36.199999999999996,36.15,36.199999999999996,1601,5792458.000000001,2025-11-12 10:04:00
1762913100000,36.2,36.2,36.1,36.120000000000005,2192,7928748.000000001,2025-11-12 10:05:00
1762913160000,36.14,36.14,36.06,36.06,963,3475242.0000000005,2025-11-12 10:06:00
1762913220000,36.06,36.07000000000001,36.050000000000004,36.06,625,2253421.0,2025-11-12 10:07:00
1762913280000,36.07,36.14,36.06,36.120000000000005,723,2612578.0,2025-11-12 10:08:00
1762913340000,36.12,36.18,36.11,36.18,843,3046898.0,2025-11-12 10:09:00
1762913400000,36.199999999999996,36.23,36.19,36.23,2843,10293302.0,2025-11-12 10:10:00
1762913460000,36.24,36.25000000000001,36.160000000000004,36.2,2605,9433711.000000002,2025-11-12 10:11:00
1762913520000,36.21,36.27,36.21,36.230000000000004,1481,5366953.0,2025-11-12 10:12:00
1762913580000,36.24,36.24,36.18,36.18,1038,3757746.0000000005,2025-11-12 10:13:00
1762913640000,36.160000000000004,36.190000000000005,36.13,36.13,1127,4076712.9999999995,2025-11-12 10:14:00
1762913700000,36.13,36.2,36.11,36.18,2284,8264286.0,2025-11-12 10:15:00
1762913760000,36.2,36.22,36.18,36.18,827,2994502.0,2025-11-12 10:16:00
1762913820000,36.18000000000001,36.220000000000006,36.160000000000004,36.17,1679,6078698.0,2025-11-12 10:17:00
1762913880000,36.18,36.21,36.15,36.18,1680,6079289.000000001,2025-11-12 10:18:00
1762913940000,36.19,36.2,36.18,36.2,578,2091503.0,2025-11-12 10:19:00
1762914000000,36.199999999999996,36.199999999999996,36.15,36.15,874,3161246.0000000005,2025-11-12 10:20:00
1762914060000,36.150000000000006,36.150000000000006,36.050000000000004,36.1,1151,4156341.0,2025-11-12 10:21:00
1762914120000,36.14,36.14,36.04,36.06,1437,5187122.0,2025-11-12 10:22:00
1762914180000,36.03,36.09,36.03,36.07,1285,4632511.0,2025-11-12 10:23:00
1762914240000,36.050000000000004,36.1,36.050000000000004,36.080000000000005,320,1154439.0000000002,2025-11-12 10:24:00
1762914300000,36.08,36.15,36.07,36.15,704,2540360.0,2025-11-12 10:25:00
1762914360000,36.15,36.16,36.08,36.1,924,3338811.0000000005,2025-11-12 10:26:00
1762914420000,36.09,36.09,36.06,36.06,399,1439620.0000000002,2025-11-12 10:27:00
1762914480000,36.06,36.07000000000001,36.050000000000004,36.06,585,2109486.0,2025-11-12 10:28:00
1762914540000,36.050000000000004,36.080000000000005,36.050000000000004,36.06,306,1103369.0,2025-11-12 10:29:00
1762914600000,36.050000000000004,36.080000000000005,36.050000000000004,36.06,639,2304554.0,2025-11-12 10:30:00
1762914660000,36.08,36.08,36.0,36.0,866,3120952.0,2025-11-12 10:31:00
1762914720000,36.0,36.010000000000005,35.99,35.99,1000,3599807.0,2025-11-12 10:32:00
1762914780000,35.98,35.99,35.97,35.99,620,2230785.0000000005,2025-11-12 10:33:00
1762914840000,35.970000000000006,35.99,35.88,35.910000000000004,1260,4526614.0,2025-11-12 10:34:00
1762914900000,35.9,35.92,35.89,35.9,684,2455799.0,2025-11-12 10:35:00
1762914960000,35.910000000000004,35.910000000000004,35.88,35.88,1055,3786763.0000000005,2025-11-12 10:36:00
1762915020000,35.88,35.92,35.88,35.910000000000004,962,3453210.0000000005,2025-11-12 10:37:00
1762915080000,35.91,35.92,35.9,35.91,577,2072059.0000000002,2025-11-12 10:38:00
1762915140000,35.910000000000004,35.92,35.910000000000004,35.910000000000004,599,2151514.0,2025-11-12 10:39:00
1762915200000,35.93,35.93,35.92,35.93,460,1652347.0,2025-11-12 10:40:00
1762915260000,35.92,35.93,35.88,35.89,1461,5245106.0,2025-11-12 10:41:00
1762915320000,35.870000000000005,35.870000000000005,35.74,35.75,2023,7243109.0,2025-11-12 10:42:00
1762915380000,35.75000000000001,35.75000000000001,35.730000000000004,35.75000000000001,1874,6697241.0,2025-11-12 10:43:00
