time,open,high,low,close,volume,amount,time_str
1769478000000,10.34,10.36,10.34,10.35,10587,10958927.0,2026-01-27 09:40:00
1769478060000,10.35,10.37,10.35,10.37,4309,4466326.000000001,2026-01-27 09:41:00
1769478120000,10.37,10.37,10.35,10.37,7784,8067570.0,2026-01-27 09:42:00
1769478180000,10.37,10.379999999999999,10.36,10.37,5153,5342954.0,2026-01-27 09:43:00
1769478240000,10.36,10.37,10.35,10.36,6121,6341951.0,2026-01-27 09:44:00
1769478300000,10.36,10.37,10.35,10.36,3166,3279687.0,2026-01-27 09:45:00
1769478360000,10.36,10.379999999999999,10.36,10.37,7270,7538449.000000001,2026-01-27 09:46:00
1769478420000,10.379999999999999,10.379999999999999,10.36,10.36,5737,5946209.000000001,2026-01-27 09:47:00
1769478480000,10.36,10.379999999999999,10.35,10.37,7489,7764568.0,2026-01-27 09:48:00
1769478540000,10.38,10.39,10.370000000000001,10.39,12826,13319539.999999998,2026-01-27 09:49:00
1769478600000,10.39,10.4,10.38,10.38,10374,10779997.000000002,2026-01-27 09:50:00
1769478660000,10.38,10.38,10.370000000000001,10.370000000000001,6302,6536844.000000001,2026-01-27 09:51:00
1769478720000,10.36,10.389999999999999,10.36,10.389999999999999,4265,4426738.0,2026-01-27 09:52:00
1769478780000,10.38,10.39,10.370000000000001,10.38,3918,4066227.0,2026-01-27 09:53:00
1769478840000,10.37,10.379999999999999,10.36,10.37,2965,3074547.0,2026-01-27 09:54:00
1769478900000,10.38,10.38,10.370000000000001,10.370000000000001,1414,1467319.0,2026-01-27 09:55:00
1769478960000,10.379999999999999,10.379999999999999,10.36,10.37,2438,2528140.0,2026-01-27 09:56:00
1769479020000,10.36,10.379999999999999,10.36,10.37,4074,4224660.000000001,2026-01-27 09:57:00
1769479080000,10.37,10.389999999999999,10.36,10.379999999999999,7170,7441505.0,2026-01-27 09:58:00
1769479140000,10.38,10.39,10.38,10.39,1739,1805616.0,2026-01-27 09:59:00
1769479200000,10.39,10.39,10.370000000000001,10.38,4006,4157883.0000000005,2026-01-27 10:00:00
1769479260000,10.370000000000001,10.38,10.370000000000001,10.38,4000,4149448.0,2026-01-27 10:01:00
1769479320000,10.37,10.37,10.34,10.34,9846,10195756.0,2026-01-27 10:02:00
1769479380000,10.34,10.34,10.32,10.33,7149,7387295.0,2026-01-27 10:03:00
1769479440000,10.33,10.34,10.33,10.34,2028,2095720.0000000002,2026-01-27 10:04:00
1769479500000,10.34,10.34,10.32,10.32,4578,4729583.0,2026-01-27 10:05:00
1769479560000,10.32,10.32,10.31,10.32,3921,4045466.0,2026-01-27 10:06:00
1769479620000,10.32,10.32,10.3,10.31,5855,6036022.000000001,2026-01-27 10:07:00
1769479680000,10.3,10.31,10.3,10.3,1293,1332316.0,2026-01-27 10:08:00
1769479740000,10.31,10.31,10.3,10.31,6116,6304408.0,2026-01-27 10:09:00
1769479800000,10.31,10.32,10.3,10.3,2788,2874208.0,2026-01-27 10:10:00
1769479860000,10.31,10.31,10.3,10.31,2922,3010799.0,2026-01-27 10:11:00
1769479920000,10.3,10.31,10.290000000000001,10.3,9597,9885037.0,2026-01-27 10:12:00
1769479980000,10.31,10.31,10.3,10.31,795,819063.0,2026-01-27 10:13:00
1769480040000,10.3,10.31,10.3,10.31,2495,2570847.0,2026-01-27 10:14:00
1769480100000,10.3,10.31,10.3,10.31,4537,4676894.0,2026-01-27 10:15:00
1769480160000,10.31,10.32,10.3,10.3,893,920544.0,2026-01-27 10:16:00
1769480220000,10.3,10.31,10.3,10.31,1292,1331528.0,2026-01-27 10:17:00
1769480280000,10.31,10.31,10.3,10.3,1084,1117010.0,2026-01-27 10:18:00
1769480340000,10.3,10.31,10.3,10.31,1066,1098276.0,2026-01-27 10:19:00
1769480400000,10.3,10.31,10.3,10.3,3430,3533221.0000000005,2026-01-27 10:20:00
1769480460000,10.3,10.31,10.3,10.31,1002,1032287.0,2026-01-27 10:21:00
1769480520000,10.3,10.31,10.3,10.31,1813,1868702.9999999998,2026-01-27 10:22:00
1769480580000,10.31,10.31,10.3,10.31,2166,2232832.0000000005,2026-01-27 10:23:00
1769480640000,10.3,10.31,10.3,10.3,1544,1590521.0,2026-01-27 10:24:00
1769480700000,10.31,10.31,10.3,10.31,4009,4132905.0000000005,2026-01-27 10:25:00
1769480760000,10.31,10.32,10.31,10.32,2545,2626227.0,2026-01-27 10:26:00
1769480820000,10.32,10.32,10.31,10.31,1832,1890454.0,2026-01-27 10:27:00
1769480880000,10.32,10.32,10.31,10.32,603,621970.0,2026-01-27 10:28:00
1769480940000,10.31,10.35,10.31,10.35,4259,4398658.0,2026-01-27 10:29:00
1769481000000,10.35,10.35,10.34,10.34,1725,1784009.0,2026-01-27 10:30:00
1769481060000,10.35,10.35,10.34,10.34,1304,1348540.0000000002,2026-01-27 10:31:00
1769481120000,10.34,10.35,10.34,10.35,721,745669.0,2026-01-27 10:32:00
1769481180000,10.34,10.35,10.33,10.33,2091,2161307.0,2026-01-27 10:33:00
1769481240000,10.32,10.32,10.31,10.32,1828,1885686.0000000002,2026-01-27 10:34:00
1769481300000,10.32,10.33,10.31,10.32,3685,3802787.0,2026-01-27 10:35:00
1769481360000,10.32,10.32,10.31,10.32,4405,4541527.0,2026-01-27 10:36:00
1769481420000,10.32,10.32,10.31,10.32,642,662238.0,2026-01-27 10:37:00
1769481480000,10.32,10.32,10.31,10.32,1233,1272043.0,2026-01-27 10:38:00
1769481540000,10.32,10.32,10.31,10.31,1702,1755028.0,2026-01-27 10:39:00
1769481600000,10.31,10.32,10.31,10.32,1114,1149392.0,2026-01-27 10:40:00
1769481660000,10.32,10.32,10.31,10.31,1802,1859480.0,2026-01-27 10:41:00
1769481720000,10.31,10.33,10.31,10.33,2364,2440654.0,2026-01-27 10:42:00
1769481780000,10.33,10.33,10.32,10.33,942,972745.0,2026-01-27 10:43:00
1769481840000,10.33,10.33,10.32,10.32,1970,2034665.0,2026-01-27 10:44:00
1769481900000,10.33,10.33,10.32,10.33,1698,1753768.0,2026-01-27 10:45:00
1769481960000,10.33,10.34,10.32,10.33,3092,3193939.0,2026-01-27 10:46:00
1769482020000,10.32,10.33,10.31,10.31,1819,1877558.0,2026-01-27 10:47:00
1769482080000,10.32,10.32,10.31,10.32,2741,2828180.0,2026-01-27 10:48:00
1769482140000,10.32,10.33,10.32,10.33,873,901052.0,2026-01-27 10:49:00
