time,open,high,low,close,volume,amount,time_str
1767929280000,14.5,14.53,14.49,14.53,625,906837.0,2026-01-09 11:28:00
1767929340000,14.52,14.52,14.5,14.5,1133,1644119.0,2026-01-09 11:29:00
1767929400000,14.5,14.52,14.5,14.51,683,991007.0,2026-01-09 11:30:00
1767934860000,14.51,14.530000000000001,14.47,14.47,4768,6915570.0,2026-01-09 13:01:00
1767934920000,14.469999999999999,14.48,14.43,14.43,2994,4327061.000000001,2026-01-09 13:02:00
1767934980000,14.44,14.44,14.4,14.42,4372,6299234.0,2026-01-09 13:03:00
1767935040000,14.43,14.44,14.41,14.41,1884,2717066.0,2026-01-09 13:04:00
1767935100000,14.41,14.43,14.41,14.43,1089,1570300.0,2026-01-09 13:05:00
1767935160000,14.43,14.459999999999999,14.43,14.459999999999999,908,1311260.0,2026-01-09 13:06:00
1767935220000,14.47,14.48,14.46,14.46,1824,2638853.0000000005,2026-01-09 13:07:00
1767935280000,14.45,14.45,14.44,14.44,1694,2447065.0,2026-01-09 13:08:00
1767935340000,14.45,14.45,14.43,14.43,705,1018094.0,2026-01-09 13:09:00
1767935400000,14.44,14.48,14.43,14.48,871,1257807.0,2026-01-09 13:10:00
1767935460000,14.46,14.49,14.46,14.49,1938,2804362.0,2026-01-09 13:11:00
1767935520000,14.48,14.49,14.46,14.47,1825,2640735.0,2026-01-09 13:12:00
1767935580000,14.459999999999999,14.469999999999999,14.44,14.44,1805,2609550.0,2026-01-09 13:13:00
1767935640000,14.44,14.45,14.43,14.43,1522,2196991.0000000005,2026-01-09 13:14:00
1767935700000,14.42,14.43,14.41,14.42,2066,2979183.0,2026-01-09 13:15:00
1767935760000,14.41,14.43,14.41,14.43,931,1342641.0000000002,2026-01-09 13:16:00
1767935820000,14.43,14.44,14.43,14.44,745,1075352.0,2026-01-09 13:17:00
1767935880000,14.43,14.44,14.43,14.43,1079,1557197.0000000002,2026-01-09 13:18:00
1767935940000,14.43,14.45,14.43,14.45,1218,1758731.9999999998,2026-01-09 13:19:00
1767936000000,14.44,14.45,14.44,14.45,1564,2259604.0,2026-01-09 13:20:00
1767936060000,14.450000000000001,14.47,14.450000000000001,14.450000000000001,1382,1997663.0,2026-01-09 13:21:00
1767936120000,14.440000000000001,14.450000000000001,14.38,14.38,7470,10766085.0,2026-01-09 13:22:00
1767936180000,14.39,14.4,14.38,14.4,1017,1463255.0,2026-01-09 13:23:00
1767936240000,14.389999999999999,14.389999999999999,14.36,14.37,2979,4282166.0,2026-01-09 13:24:00
1767936300000,14.379999999999999,14.379999999999999,14.35,14.35,1397,2006219.0,2026-01-09 13:25:00
1767936360000,14.35,14.41,14.32,14.41,3994,5732818.0,2026-01-09 13:26:00
1767936420000,14.43,14.45,14.43,14.45,824,1188895.0,2026-01-09 13:27:00
1767936480000,14.45,14.459999999999999,14.44,14.45,1514,2187800.0,2026-01-09 13:28:00
1767936540000,14.46,14.5,14.46,14.5,1315,1902876.0,2026-01-09 13:29:00
1767936600000,14.52,14.52,14.49,14.49,4514,6546244.0,2026-01-09 13:30:00
1767936660000,14.49,14.540000000000001,14.48,14.540000000000001,1402,2033765.0,2026-01-09 13:31:00
1767936720000,14.549999999999999,14.56,14.51,14.51,1767,2570270.0,2026-01-09 13:32:00
1767936780000,14.51,14.52,14.49,14.5,522,757150.9999999999,2026-01-09 13:33:00
1767936840000,14.49,14.49,14.450000000000001,14.46,2298,3322635.0,2026-01-09 13:34:00
1767936900000,14.469999999999999,14.469999999999999,14.43,14.45,1061,1532354.9999999998,2026-01-09 13:35:00
1767936960000,14.46,14.49,14.450000000000001,14.48,697,1008460.9999999999,2026-01-09 13:36:00
1767937020000,14.49,14.540000000000001,14.49,14.53,1258,1826079.0,2026-01-09 13:37:00
1767937080000,14.530000000000001,14.55,14.530000000000001,14.55,668,971289.9999999999,2026-01-09 13:38:00
1767937140000,14.549999999999999,14.549999999999999,14.51,14.51,1265,1837950.0,2026-01-09 13:39:00
1767937200000,14.51,14.51,14.5,14.5,366,530867.0,2026-01-09 13:40:00
1767937260000,14.51,14.51,14.49,14.5,501,726426.0,2026-01-09 13:41:00
1767937320000,14.51,14.52,14.49,14.52,1384,2007333.0,2026-01-09 13:42:00
1767937380000,14.49,14.53,14.49,14.52,1446,2097196.0,2026-01-09 13:43:00
1767937440000,14.52,14.53,14.51,14.53,680,987518.0,2026-01-09 13:44:00
1767937500000,14.52,14.54,14.52,14.54,1183,1719013.0,2026-01-09 13:45:00
1767937560000,14.540000000000001,14.55,14.540000000000001,14.540000000000001,692,1006218.0,2026-01-09 13:46:00
1767937620000,14.530000000000001,14.55,14.530000000000001,14.540000000000001,1309,1903236.0,2026-01-09 13:47:00
1767937680000,14.54,14.54,14.52,14.53,608,883599.0000000001,2026-01-09 13:48:00
1767937740000,14.530000000000001,14.57,14.530000000000001,14.55,2254,3280167.0,2026-01-09 13:49:00
1767937800000,14.55,14.55,14.530000000000001,14.530000000000001,815,1185210.0,2026-01-09 13:50:00
1767937860000,14.52,14.53,14.5,14.51,1990,2888151.0,2026-01-09 13:51:00
1767937920000,14.51,14.51,14.5,14.51,1330,1928595.0,2026-01-09 13:52:00
1767937980000,14.5,14.5,14.5,14.5,463,671347.0,2026-01-09 13:53:00
1767938040000,14.5,14.5,14.49,14.49,327,473931.0,2026-01-09 13:54:00
1767938100000,14.49,14.52,14.49,14.51,1074,1557935.0,2026-01-09 13:55:00
1767938160000,14.52,14.52,14.51,14.52,456,661882.0000000001,2026-01-09 13:56:00
1767938220000,14.52,14.549999999999999,14.52,14.549999999999999,1118,1624633.0,2026-01-09 13:57:00
1767938280000,14.55,14.55,14.540000000000001,14.540000000000001,123,178885.0,2026-01-09 13:58:00
1767938340000,14.55,14.55,14.540000000000001,14.540000000000001,752,1093743.0000000002,2026-01-09 13:59:00
1767938400000,14.55,14.56,14.540000000000001,14.56,561,816270.0000000001,2026-01-09 14:00:00
1767938460000,14.55,14.58,14.55,14.58,1238,1804305.0000000002,2026-01-09 14:01:00
1767938520000,14.57,14.58,14.57,14.58,787,1147297.0,2026-01-09 14:02:00
1767938580000,14.58,14.58,14.56,14.57,1047,1525420.0000000002,2026-01-09 14:03:00
1767938640000,14.56,14.58,14.56,14.58,791,1152572.0,2026-01-09 14:04:00
1767938700000,14.57,14.59,14.57,14.58,448,653263.0,2026-01-09 14:05:00
1767938760000,14.6,14.62,14.6,14.62,1621,2368455.0,2026-01-09 14:06:00
1767938820000,14.6,14.62,14.59,14.59,773,1128820.0000000002,2026-01-09 14:07:00
1767938880000,14.59,14.6,14.59,14.6,513,748739.0,2026-01-09 14:08:00
1767938940000,14.6,14.61,14.6,14.6,405,591314.0,2026-01-09 14:09:00
1767939000000,14.61,14.62,14.6,14.62,629,919135.0,2026-01-09 14:10:00
1767939060000,14.63,14.66,14.620000000000001,14.66,1898,2778399.0000000005,2026-01-09 14:11:00
1767939120000,14.65,14.66,14.63,14.63,843,1234575.0,2026-01-09 14:12:00
1767939180000,14.62,14.62,14.61,14.61,842,1231421.0,2026-01-09 14:13:00
1767939240000,14.61,14.62,14.61,14.61,137,200226.00000000003,2026-01-09 14:14:00
1767939300000,14.62,14.62,14.61,14.61,155,226478.0,2026-01-09 14:15:00
1767939360000,14.61,14.62,14.6,14.6,1226,1790437.0,2026-01-09 14:16:00
1767939420000,14.6,14.6,14.58,14.58,1591,2320662.0,2026-01-09 14:17:00
1767939480000,14.58,14.59,14.58,14.58,1011,1473921.0,2026-01-09 14:18:00
1767939540000,14.59,14.59,14.56,14.56,1034,1506898.0,2026-01-09 14:19:00
1767939600000,14.57,14.58,14.56,14.58,1880,2740320.0,2026-01-09 14:20:00
1767939660000,14.58,14.59,14.56,14.59,1162,1693060.0000000002,2026-01-09 14:21:00
1767939720000,14.59,14.59,14.58,14.58,632,921742.0,2026-01-09 14:22:00
1767939780000,14.59,14.59,14.58,14.58,552,805079.0000000001,2026-01-09 14:23:00
1767939840000,14.59,14.6,14.58,14.6,417,608355.0,2026-01-09 14:24:00
1767939900000,14.6,14.61,14.6,14.6,413,602991.0,2026-01-09 14:25:00
1767939960000,14.6,14.629999999999999,14.6,14.62,1028,1502784.9999999998,2026-01-09 14:26:00
1767940020000,14.620000000000001,14.64,14.620000000000001,14.620000000000001,657,961168.0000000001,2026-01-09 14:27:00
1767940080000,14.63,14.63,14.63,14.63,364,533597.0,2026-01-09 14:28:00
1767940140000,14.63,14.64,14.63,14.64,730,1068629.0,2026-01-09 14:29:00
1767940200000,14.63,14.64,14.63,14.63,818,1196937.0,2026-01-09 14:30:00
1767940260000,14.63,14.63,14.620000000000001,14.620000000000001,966,1412732.0,2026-01-09 14:31:00
1767940320000,14.629999999999999,14.629999999999999,14.61,14.61,1209,1766816.0,2026-01-09 14:32:00
1767940380000,14.61,14.61,14.59,14.6,896,1308140.0,2026-01-09 14:33:00
1767940440000,14.6,14.6,14.58,14.6,1133,1653585.0,2026-01-09 14:34:00
1767940500000,14.6,14.61,14.59,14.6,751,1096167.9999999998,2026-01-09 14:35:00
1767940560000,14.6,14.61,14.6,14.6,468,683591.9999999999,2026-01-09 14:36:00
1767940620000,14.61,14.62,14.6,14.62,341,498136.0,2026-01-09 14:37:00
