排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
1,300182.SZ,9.46,8.45,11.95,397167,375720000.00,778,32623,09:26:17
2,002506.SZ,5.27,5.26,0.19,376889,198620700.00,56225,23139,09:26:17
3,000711.SZ,2.61,2.71,-3.69,269557,70354300.00,301627,20108,09:26:17
4,300017.SZ,19.3,18.68,3.32,236536,456514500.00,58258,2502,09:26:17
5,002323.SZ,2.29,2.16,6.02,222135,50868900.00,48047,28578,09:26:17
6,600715.SH,2.6,2.61,-0.38,162508,42252100.00,3926,25953,09:26:16
7,603980.SH,8.35,7.93,5.30,131873,110113600.00,467,987,09:26:16
8,002723.SZ,11.62,10.56,10.04,128192,148959100.00,2056,0,09:26:17
9,000638.SZ,1.81,1.9,-4.74,125709,22753300.00,27809,965,09:26:17
10,000839.SZ,3.21,3.27,-1.83,123291,39576400.00,11666,42147,09:26:17
11,002455.SZ,14.51,13.48,7.64,122053,177098700.00,7891,1362,09:26:17
12,603466.SH,11.84,10.96,8.03,121211,143513800.00,357,25115,09:26:17
13,300251.SZ,26.1,25.56,2.11,108422,282981400.00,243,273,09:26:17
14,001330.SZ,13.72,12.47,10.02,98750,135485000.00,494367,0,09:26:17
15,601599.SH,5.59,5.64,-0.89,96834,54130200.00,1412,24837,09:26:17
16,300364.SZ,43.52,42.34,2.79,96586,420343700.00,2905,73,09:26:17
17,002131.SZ,8.31,8.35,-0.48,93733,77892200.00,15691,8192,09:26:17
18,600589.SH,12.6,11.45,10.04,91741,115593700.00,1228769,0,09:26:17
19,000056.SZ,2.28,2.41,-5.39,89281,20356200.00,16386,4205,09:26:17
20,002429.SZ,11.9,11.37,4.66,79439,94532400.00,677,3547,09:26:17
21,300277.SZ,16,18.08,-11.50,72246,115593900.00,5320,524,09:26:17
22,002739.SZ,13.14,13.87,-5.26,72069,94698700.00,500,1862,09:26:17
23,300058.SZ,19.3,19.62,-1.63,69321,133789600.00,1441,440,09:26:17
24,002292.SZ,10.69,10.88,-1.75,66730,71334400.00,7384,676,09:26:17
25,300133.SZ,10.41,11.23,-7.30,66600,69330600.00,3320,9498,09:26:17
26,600986.SH,13.9,13.99,-0.64,58556,81392800.00,962,847,09:26:17
27,000681.SZ,31.03,30.49,1.77,57443,178245600.00,1475,403,09:26:17
28,002129.SZ,11.27,11.3,-0.27,55856,62950200.00,2638,3114,09:26:17
29,601929.SH,4.07,4.22,-3.55,53417,21740700.00,4571,10888,09:26:16
30,002624.SZ,22.52,22.47,0.22,53074,119521500.00,1473,403,09:26:17
31,000156.SZ,9.9,9.83,0.71,51216,50703800.00,299,9206,09:26:17
32,002716.SZ,14.24,14.28,-0.28,51156,72846200.00,13260,8533,09:26:17
33,600010.SH,2.59,2.61,-0.77,50615,13109300.00,260768,156749,09:26:16
34,002471.SZ,9.71,9.87,-1.62,49622,48183000.00,7903,534,09:26:17
35,600477.SH,4.16,4.2,-0.95,48728,20270800.00,19289,21574,09:26:17
36,002099.SZ,8.51,8.38,1.55,46735,39771300.00,15403,1417,09:26:17
37,300027.SZ,2.21,2.36,-6.36,45735,10107400.00,9021,12660,09:26:17
38,603000.SH,28.21,26.27,7.38,45008,126967600.00,31,2852,09:26:16
39,300315.SZ,6.43,6.5,-1.08,41248,26522500.00,4313,23032,09:26:17
