buy_count,description,name,code,yesterday_count,comments_count,id,total_fund,choice_count,date,source
141,,航天发展,000547,137,0,732,2233.9329999999986,0,20251219,wanzhu_api
119,,雪人集团,002639,41,0,1391,1182.4099999999996,0,20251219,wanzhu_api
113,,东百集团,600693,100,0,9217,1400.4399999999991,0,20251219,wanzhu_api
108,,永辉超市,601933,83,0,9472,1982.4800000000007,0,20251219,wanzhu_api
81,,平潭发展,000592,88,1,7495,919.9299999999996,0,20251219,wanzhu_api
81,,顺灏股份,002565,97,0,2031,1881.0600000000006,0,20251219,wanzhu_api
79,,美年健康,002044,39,0,126,850.4000000000001,0,20251219,wanzhu_api
76,,飞龙股份,002536,90,0,7949,2695.770000000001,0,20251219,wanzhu_api
70,,西部材料,002149,76,0,2316,1386.2270000000003,0,20251219,wanzhu_api
62,,航天机电,600151,97,0,8949,1289.4380000000003,0,20251219,wanzhu_api
57,,百大集团,600865,87,0,9304,365.19030000000015,0,20251219,wanzhu_api
54,,再升科技,603601,65,0,9687,364.18999999999994,0,20251219,wanzhu_api
47,,浙江世宝,002703,48,1,8042,620.0378999999999,0,20251219,wanzhu_api
46,,乾照光电,300102,60,0,1745,1415.5500000000004,0,20251219,wanzhu_api
45,,英维克,002837,74,0,715,962.5500000000002,0,20251219,wanzhu_api
43,,华菱线缆,001208,68,0,1345,1063.1599999999999,0,20251219,wanzhu_api
42,,国晟科技,603778,44,0,896,2587.148,0,20251219,wanzhu_api
40,,航天电子,600879,47,0,9314,1378.0600000000002,0,20251219,wanzhu_api
40,,华人健康,301408,22,0,19958,331.06999999999994,0,20251219,wanzhu_api
40,,通宇通讯,002792,34,1,8090,745.6999999999998,0,20251219,wanzhu_api
40,,航天动力,600343,41,0,2251,1845.6520000000007,0,20251219,wanzhu_api
40,,合富中国,603122,71,0,20020,291.92000000000013,0,20251219,wanzhu_api
39,,南京商旅,600250,11,0,8999,670.0100000000001,0,20251219,wanzhu_api
36,,超捷股份,301005,39,0,487,648.0740000000001,0,20251219,wanzhu_api
34,,国机重装,601399,18,0,1292,453.40400000000017,0,20251219,wanzhu_api
33,,盛洋科技,603703,9,0,92,288.6400000000001,0,20251219,wanzhu_api
33,,航天智造,300446,2,0,8484,908.2700000000001,0,20251219,wanzhu_api
29,,奕东电子,301123,35,0,19767,821.72,0,20251219,wanzhu_api
29,,天银机电,300342,50,0,8423,646.7199999999999,0,20251219,wanzhu_api
27,,翠微股份,603123,16,0,1259,179.21,0,20251219,wanzhu_api
27,,赛微电子,300456,25,0,36,481.77,0,20251219,wanzhu_api
26,,九牧王,601566,21,0,9426,1511.18,0,20251219,wanzhu_api
25,,上海瀚讯,300762,31,0,8676,302.05999999999995,0,20251219,wanzhu_api
23,,神剑股份,002361,2,0,7851,409.83000000000004,0,20251219,wanzhu_api
22,,鹭燕医药,002788,21,0,8087,705.95,0,20251219,wanzhu_api
21,,中国卫星,600118,22,0,2254,290.1000000000001,0,20251219,wanzhu_api
21,,航天工程,603698,8,0,9725,588.6899999999999,0,20251219,wanzhu_api
21,,海峡创新,300300,11,0,8400,284.34000000000003,0,20251219,wanzhu_api
20,,香农芯创,300475,27,0,2387,271.74,0,20251219,wanzhu_api
20,,长芯博创,300548,21,0,8544,636.5899999999999,0,20251219,wanzhu_api
20,,通鼎互联,002491,30,0,7927,138.45000000000002,0,20251219,wanzhu_api
18,,赢时胜,300377,7,0,1202,235.94,0,20251219,wanzhu_api
17,,欢乐家,300997,11,0,78,522.22,0,20251219,wanzhu_api
17,,电广传媒,000917,15,0,2373,380.01,0,20251219,wanzhu_api
16,,新易盛,300502,14,0,1658,1137.71,0,20251219,wanzhu_api
16,,东芯股份,688110,21,0,9989,566.23,0,20251219,wanzhu_api
16,,龙洲股份,002682,29,0,4,44.7025,0,20251219,wanzhu_api
16,,天力复合,920576,21,0,20368,345.75,0,20251219,wanzhu_api
16,,*ST铖昌,001270,15,0,19594,337.10999999999996,0,20251219,wanzhu_api
15,,上海九百,600838,7,0,1414,178.88000000000002,0,20251219,wanzhu_api
15,,淳中科技,603516,21,0,1185,2987.3300000000004,0,20251219,wanzhu_api
15,,三羊马,001317,24,0,84,104.55000000000001,0,20251219,wanzhu_api
15,,久之洋,300516,19,0,2291,366.02,0,20251219,wanzhu_api
14,,豪恩汽电,301488,9,0,19971,288.5,0,20251219,wanzhu_api
14,,哈焊华通,301137,1,0,19774,60.26,0,20251219,wanzhu_api
14,,万集科技,300552,9,0,1410,170.04000000000002,0,20251219,wanzhu_api
13,,皮阿诺,002853,6,0,8132,47.26,0,20251219,wanzhu_api
12,,波长光电,301421,19,0,19961,68.68,0,20251219,wanzhu_api
12,,海王生物,000078,16,0,7421,82.49000000000001,0,20251219,wanzhu_api
12,,江波龙,301308,11,0,19886,197.61999999999998,0,20251219,wanzhu_api
12,,联特科技,301205,10,0,19808,311.39000000000004,0,20251219,wanzhu_api
12,,菲利华,300395,17,0,8455,661.6999999999998,0,20251219,wanzhu_api
11,,中际旭创,300308,15,0,8405,671.5100000000001,0,20251219,wanzhu_api
11,,N优迅,688807,0,0,23861,439.46,0,20251219,wanzhu_api
11,,博纳影业,001330,18,0,14267,61.52,0,20251219,wanzhu_api
11,,中洲特材,300963,2,0,1192,119.02000000000001,0,20251219,wanzhu_api
11,,中天服务,002188,2,0,7757,356.47999999999996,0,20251219,wanzhu_api
11,,三花智控,002050,9,0,7684,190.83,0,20251219,wanzhu_api
11,,永鼎股份,600105,6,0,1675,67.07999999999998,0,20251219,wanzhu_api
11,,太阳电缆,002300,11,0,879,98.46999999999998,0,20251219,wanzhu_api
10,,指南针,300803,13,0,2416,405.0,0,20251219,wanzhu_api
10,,飞沃科技,301232,5,0,19830,141.12,0,20251219,wanzhu_api
10,,德艺文创,300640,6,0,8599,53.73,0,20251219,wanzhu_api
10,,漱玉平民,301017,8,0,1432,68.64,0,20251219,wanzhu_api
10,,雷科防务,002413,11,1,1834,97.325,0,20251219,wanzhu_api
10,,均胜电子,600699,5,0,164,112.78120000000001,0,20251219,wanzhu_api
10,,海欣食品,002702,8,0,8041,254.14,0,20251219,wanzhu_api
10,,京泉华,002885,4,0,85,99.70000000000002,0,20251219,wanzhu_api
10,,骑士乳业,920786,3,0,20490,178.28000000000003,0,20251219,wanzhu_api
10,,山子高科,000981,0,0,7643,207.08999999999997,0,20251219,wanzhu_api
10,,中超控股,002471,12,0,1113,51.02,0,20251219,wanzhu_api
10,,鹿得医疗,920278,12,0,10274,143.99,0,20251219,wanzhu_api
10,,工业富联,601138,12,0,9385,220.37300000000002,0,20251219,wanzhu_api
10,,柏星龙,920075,3,0,20270,348.65999999999997,0,20251219,wanzhu_api
10,,烽火通信,600498,9,0,9111,121.35,0,20251219,wanzhu_api
10,,光库科技,300620,13,0,8586,560.04,0,20251219,wanzhu_api
9,,安妮股份,002235,8,0,1533,56.23,0,20251219,wanzhu_api
9,,德赛西威,002920,3,0,1456,106.25,0,20251219,wanzhu_api
9,,红相股份,300427,12,0,8477,92.92,0,20251219,wanzhu_api
9,,中钨高新,000657,13,0,7527,140.08999999999997,0,20251219,wanzhu_api
9,,广博股份,002103,0,0,7710,21.770000000000003,0,20251219,wanzhu_api
9,,孚日股份,002083,7,0,2530,35.04,0,20251219,wanzhu_api
8,,威帝股份,603023,2,0,1793,47.68,0,20251219,wanzhu_api
8,,蓝色光标,300058,7,2,107,81.58,0,20251219,wanzhu_api
8,,兆易创新,603986,5,0,813,512.9121,0,20251219,wanzhu_api
8,,智莱科技,300771,5,0,716,183.69,0,20251219,wanzhu_api
8,,苏利股份,603585,4,0,9678,96.32,0,20251219,wanzhu_api
8,,胜宏科技,300476,13,0,8500,178.5,0,20251219,wanzhu_api
8,,中科星图,688568,6,0,10168,104.04999999999998,0,20251219,wanzhu_api
8,,赛伍技术,603212,3,0,9571,505.06999999999994,0,20251219,wanzhu_api
