code,name,date,pre_close,final_change_pct,max_change_pct,min_change_pct,tick_count,status,label,trap_t_fake,trap_t_peak,trap_t_fail,trap_fake_duration,trap_fake_change,trap_fall_duration,trap_fall_change
000547,航天发展,2026-01-20,28.9,-6.851211072664349,1.5570934256055464,-9.999999999999991,4761,success,真起爆,,,,,,,
000547,航天发展,2026-02-05,32.5,-1.8461538461538505,3.8461538461538463,-5.630769230769225,4761,success,真起爆,,,,,,,
000547,航天发展,2026-01-23,27.26,7.923697725605283,8.180484225972108,-2.0176082171680143,4761,success,骗炮,10:43:18,11:02:36,13:44:33,19.3,3.154805575935435,161.95,-2.9347028613352792
000547,航天发展,2026-02-12,28.0,1.500000000000006,1.500000000000006,-3.8571428571428514,4762,success,骗炮,,,,,,,
300058,蓝色光标,2026-01-21,17.78,4.949381327334077,6.6366704161979735,-4.21822272215973,4761,success,真起爆,10:27:09,10:30:15,14:28:12,3.1,1.6310461192350916,237.95,-3.712035995500563
300058,蓝色光标,2026-02-06,19.13,-0.7841087297438505,3.3978044955567284,-2.927339257710396,4761,success,真起爆,,,,,,,
000592,平潭发展,2026-01-20,11.29,-5.845881310894583,4.871567759078838,-5.9344552701505755,4761,success,真起爆,,,,,,,
000592,平潭发展,2026-01-21,10.63,-8.936970837253067,-4.515522107243654,-9.971777986829732,4761,success,骗炮,,,,,,,
300017,网宿科技,2026-01-26,11.48,20.034843205574905,20.034843205574905,2.526132404181177,4761,success,真起爆,09:33:03,11:29:00,13:35:15,115.95,14.982578397212535,126.25,-6.533101045296168
300017,网宿科技,2026-02-13,22.12,1.80831826401446,8.860759493670873,1.2658227848101156,4762,success,骗炮,09:30:36,09:47:36,14:57:00,17.0,3.7070524412296404,309.4,-7.594936708860758
