buy_count,description,name,code,yesterday_count,comments_count,id,total_fund,choice_count,date,source
76,,大位科技,600589,10,0,9160,1065.9899999999998,0,20260213,wanzhu_api
46,,掌阅科技,603533,1,0,513,1136.9500000000005,0,20260213,wanzhu_api
45,,捷成股份,300182,60,1,287,780.9799999999999,0,20260213,wanzhu_api
45,,网宿科技,300017,67,0,8261,2239.650000000001,0,20260213,wanzhu_api
28,,信维通信,300136,26,0,8308,999.36,0,20260213,wanzhu_api
28,,中文在线,300364,43,2,278,528.7899999999998,0,20260213,wanzhu_api
26,,博纳影业,1330,39,0,14267,807.31,0,20260213,wanzhu_api
25,,首都在线,300846,18,0,908,630.0,0,20260213,wanzhu_api
23,,华胜天成,600410,6,0,9079,1357.7300000000005,0,20260213,wanzhu_api
20,,海兰信,300065,8,0,69,136.54000000000002,0,20260213,wanzhu_api
18,,航天发展,547,21,0,732,251.55000000000004,0,20260213,wanzhu_api
18,,绿盟科技,300369,4,0,8439,132.596,0,20260213,wanzhu_api
17,,光线传媒,300251,8,0,8367,220.74220000000005,0,20260213,wanzhu_api
16,,巨力索具,2342,19,0,225,46.3,0,20260213,wanzhu_api
16,,光环新网,300383,17,0,2195,166.13000000000002,0,20260213,wanzhu_api
14,,蓝色光标,300058,21,2,107,179.17000000000002,0,20260213,wanzhu_api
14,,英维克,2837,24,0,715,674.3199999999999,0,20260213,wanzhu_api
14,,协鑫集成,2506,31,0,31,29.90000000000001,0,20260213,wanzhu_api
13,,汉缆股份,2498,6,0,1114,149.81000000000003,0,20260213,wanzhu_api
13,,利欧股份,2131,20,0,7727,74.35,0,20260213,wanzhu_api
13,,万向钱潮,559,5,0,7478,43.86,0,20260213,wanzhu_api
13,,锋龙股份,2931,12,0,8184,580.4499999999999,0,20260213,wanzhu_api
13,,人民网,603000,0,2,29,321.5,0,20260213,wanzhu_api
12,,利通电子,603629,17,0,9698,418.36,0,20260213,wanzhu_api
12,,昆仑万维,300418,12,2,2627,428.16,0,20260213,wanzhu_api
12,,海量数据,603138,11,0,1147,135.32,0,20260213,wanzhu_api
12,,深科技,21,0,0,7403,402.03,0,20260213,wanzhu_api
12,,超捷股份,301005,11,0,487,85.05,0,20260213,wanzhu_api
11,,天奇股份,2009,5,1,1677,111.04,0,20260213,wanzhu_api
11,,风语筑,603466,7,0,266,53.39,0,20260213,wanzhu_api
10,,金时科技,2951,2,0,2585,142.79999999999998,0,20260213,wanzhu_api
10,,润泽科技,300442,10,0,8482,380.19000000000005,0,20260213,wanzhu_api
10,,杭电股份,603618,24,0,9696,70.23,0,20260213,wanzhu_api
10,,中国长城,66,9,0,2596,420.84,0,20260213,wanzhu_api
9,,国风新材,859,2,0,1500,367.13,0,20260213,wanzhu_api
9,,二六三,2467,2,0,947,254.9,0,20260213,wanzhu_api
9,,天孚通信,300394,9,0,8454,370.7900000000001,0,20260213,wanzhu_api
9,,特发信息,70,22,2,7420,730.9599999999999,0,20260213,wanzhu_api
9,,浙文互联,600986,15,0,176,395.28,0,20260213,wanzhu_api
9,,西部材料,2149,13,0,2316,468.84,0,20260213,wanzhu_api
8,,浪潮信息,977,8,0,7641,154.19000000000003,0,20260213,wanzhu_api
8,,志特新材,300986,6,0,8808,47.63,0,20260213,wanzhu_api
8,,长芯博创,300548,8,0,8544,173.74,0,20260213,wanzhu_api
8,,平潭发展,592,3,1,7495,87.14,0,20260213,wanzhu_api
8,,国投智能,300188,0,0,8334,364.05,0,20260213,wanzhu_api
8,,东阳光,600673,6,0,9207,134.58,0,20260213,wanzhu_api
8,,每日互动,300766,4,0,616,131.92000000000002,0,20260213,wanzhu_api
8,,雅博股份,2323,9,0,7832,13.54,0,20260213,wanzhu_api
8,,数据港,603881,14,0,367,107.42,0,20260213,wanzhu_api
7,,横店影视,603103,15,0,9533,22.69,0,20260213,wanzhu_api
7,,航发控制,738,0,0,394,61.25,0,20260213,wanzhu_api
7,,光库科技,300620,9,0,8586,148.77,0,20260213,wanzhu_api
7,,天银机电,300342,8,0,8423,93.48,0,20260213,wanzhu_api
7,,闰土股份,2440,7,0,2408,36.69,0,20260213,wanzhu_api
7,,东方国信,300166,15,0,174,53.650000000000006,0,20260213,wanzhu_api
7,,欢瑞世纪,892,25,0,427,22.48,0,20260213,wanzhu_api
7,,克来机电,603960,0,4,242,277.86999999999995,0,20260213,wanzhu_api
7,,依米康,300249,11,0,1046,55.82000000000001,0,20260213,wanzhu_api
7,,视觉中国,681,5,1,942,38.38,0,20260213,wanzhu_api
6,,完美世界,2624,7,0,7999,30.41,0,20260213,wanzhu_api
6,,航锦科技,818,6,0,1434,91.62,0,20260213,wanzhu_api
6,,电广传媒,917,7,0,2373,198.32,0,20260213,wanzhu_api
6,,德美化工,2054,5,0,2647,58.84000000000001,0,20260213,wanzhu_api
6,,东芯股份,688110,6,0,9989,196.14,0,20260213,wanzhu_api
6,,海南发展,2163,2,0,7743,62.010000000000005,0,20260213,wanzhu_api
6,,安妮股份,2235,2,0,1533,14.32,0,20260213,wanzhu_api
6,,航天电子,600879,5,0,9314,38.58,0,20260213,wanzhu_api
6,,德才股份,605287,11,0,9887,36.970000000000006,0,20260213,wanzhu_api
6,,兆易创新,603986,5,0,813,290.18,0,20260213,wanzhu_api
6,,宏景科技,301396,6,0,19954,266.99,0,20260213,wanzhu_api
6,,烽火通信,600498,7,0,9111,341.02000000000004,0,20260213,wanzhu_api
6,,百川股份,2455,8,0,7913,51.78,0,20260213,wanzhu_api
6,,长飞光纤,601869,5,0,433,155.76000000000002,0,20260213,wanzhu_api
6,,晓程科技,300139,6,0,348,93.04,0,20260213,wanzhu_api
5,,通宇通讯,2792,4,1,8090,23.52,0,20260213,wanzhu_api
5,,顺网科技,300113,7,0,885,201.2,0,20260213,wanzhu_api
5,,C林平,603284,9,0,23995,17.06,0,20260213,wanzhu_api
5,,科大国创,300520,2,0,8526,42.93,0,20260213,wanzhu_api
5,,澜起科技,688008,6,0,9917,103.18,0,20260213,wanzhu_api
5,,民爆光电,301362,8,0,19927,192.8,0,20260213,wanzhu_api
5,,江波龙,301308,2,0,19886,33.41,0,20260213,wanzhu_api
5,,金现代,300830,1,0,893,346.46000000000004,0,20260213,wanzhu_api
5,,五洲新春,603667,3,0,1809,146.0,0,20260213,wanzhu_api
5,,中芯国际,688981,5,0,168,53.67,0,20260213,wanzhu_api
5,,*ST铖昌,1270,4,0,19594,132.09,0,20260213,wanzhu_api
5,,岩山科技,2195,3,0,759,7.550000000000001,0,20260213,wanzhu_api
5,,美利云,815,17,0,883,27.129999999999995,0,20260213,wanzhu_api
5,,国晟科技,603778,7,0,896,332.0,0,20260213,wanzhu_api
5,,浙江世宝,2703,0,1,8042,1051.34,0,20260213,wanzhu_api
4,,中国中免,601888,3,0,9465,159.95,0,20260213,wanzhu_api
4,,航天动力,600343,3,0,2251,82.34,0,20260213,wanzhu_api
4,,凯龙高科,300912,5,0,8768,19.25,0,20260213,wanzhu_api
4,,海联讯,300277,4,0,116,55.06999999999999,0,20260213,wanzhu_api
4,,群兴玩具,2575,5,0,7970,22.34,0,20260213,wanzhu_api
4,,并行科技,920493,7,0,20622,46.66,0,20260213,wanzhu_api
4,,麦格米特,2851,2,0,8131,64.28,0,20260213,wanzhu_api
4,,新易盛,300502,3,0,1658,58.56999999999999,0,20260213,wanzhu_api
4,,北京君正,300223,4,0,234,129.14,0,20260213,wanzhu_api
4,,罗博特科,300757,4,1,8671,71.14,0,20260213,wanzhu_api
4,,合肥城建,2208,4,0,1433,5.759999999999999,0,20260213,wanzhu_api
67,,网宿科技,300017,59,0,8261,1963.61,0,20260212,wanzhu_api
60,,捷成股份,300182,59,1,287,2200.17,0,20260212,wanzhu_api
43,,中文在线,300364,73,2,278,681.2700000000001,0,20260212,wanzhu_api
39,,博纳影业,1330,50,0,14267,628.1600000000001,0,20260212,wanzhu_api
31,,协鑫集成,2506,47,0,31,497.1,0,20260212,wanzhu_api
26,,信维通信,300136,36,0,8308,861.9899999999998,0,20260212,wanzhu_api
25,,欢瑞世纪,892,35,0,427,509.5199999999999,0,20260212,wanzhu_api
24,,英维克,2837,3,0,715,1005.85,0,20260212,wanzhu_api
24,,杭电股份,603618,16,0,9696,1015.09,0,20260212,wanzhu_api
22,,特发信息,70,4,2,7420,405.58,0,20260212,wanzhu_api
21,,蓝色光标,300058,12,2,107,248.16000000000005,0,20260212,wanzhu_api
21,,航天发展,547,21,0,732,204.89999999999992,0,20260212,wanzhu_api
20,,利欧股份,2131,6,0,7727,385.28,0,20260212,wanzhu_api
19,,巨力索具,2342,30,0,225,75.09,0,20260212,wanzhu_api
18,,首都在线,300846,4,0,908,109.06000000000004,0,20260212,wanzhu_api
17,,光环新网,300383,13,0,2195,375.75,0,20260212,wanzhu_api
