time,price,true_change_pct,flow_1min,flow_5min,flow_15min
09:30:00,41.39,65.56,0.0,0.0,0.0
09:30:03,41.2,64.80000000000001,-39004040.0,-39004040.0,-39004040.0
09:30:06,41.32,65.28,-27736076.0,-27736076.0,-27736076.0
09:30:09,41.66,66.63999999999999,-22895184.0,-22895184.0,-22895184.0
09:30:12,41.77,67.08000000000001,-19804204.0,-19804204.0,-19804204.0
09:30:15,41.85,67.4,-17301574.0,-17301574.0,-17301574.0
09:30:18,41.9,67.6,-14548744.0,-14548744.0,-14548744.0
09:30:21,41.92,67.68,-4345416.0,-4345416.0,-4345416.0
09:30:24,41.98,67.91999999999999,1943187.999999999,1943187.999999999,1943187.999999999
09:30:27,42.0,68.0,10838788.0,10838788.0,10838788.0
09:30:30,41.98,67.91999999999999,5284834.000000001,5284834.000000001,5284834.000000001
09:30:33,41.88,67.52000000000001,-7002758.000000001,-7002758.000000001,-7002758.000000001
09:30:36,41.81,67.24000000000001,-14996830.0,-14996830.0,-14996830.0
09:30:39,41.78,67.12,-28554440.0,-28554440.0,-28554440.0
09:30:42,41.66,66.63999999999999,-34120216.0,-34120216.0,-34120216.0
09:30:45,41.77,67.08000000000001,-14989556.0,-14989556.0,-14989556.0
09:30:48,41.81,67.24000000000001,-1129541.0,-1129541.0,-1129541.0
09:30:51,41.81,67.24000000000001,-1129541.0,-1129541.0,-1129541.0
09:30:54,41.66,66.63999999999999,-12456895.0,-12456895.0,-12456895.0
09:30:57,41.51,66.03999999999999,-16541479.0,-16541479.0,-16541479.0
09:31:00,41.66,66.63999999999999,-8884371.0,-8884371.0,-8884371.0
09:31:03,41.54,66.16,-18201793.0,-18201793.0,-18201793.0
09:31:06,41.54,66.16,20802247.0,-18201793.0,-18201793.0
09:31:09,41.54,66.16,9534283.0,-18201793.0,-18201793.0
09:31:12,41.54,66.16,4693391.0,-18201793.0,-18201793.0
09:31:15,41.54,66.16,1602411.0,-18201793.0,-18201793.0
09:31:18,41.77,67.08000000000001,5987654.000000001,-11313920.0,-11313920.0
09:31:21,41.81,67.24000000000001,10488859.000000002,-4059884.999999999,-4059884.999999999
09:31:24,41.77,67.08000000000001,-8903868.999999998,-13249285.0,-13249285.0
09:31:27,41.81,67.24000000000001,-10254712.0,-8311524.0,-8311524.0
09:31:30,41.85,67.4,-10562692.0,276096.0,276096.0
09:31:33,41.85,67.4,-5008738.0,276096.0,276096.0
09:31:36,41.92,67.68,13650694.000000002,6647936.0,6647936.0
09:31:39,42.0,68.0,24152166.0,9155336.0,9155336.0
09:31:42,42.05,68.19999999999999,41149466.0,12595026.0,12595026.0
09:31:45,42.18,68.72,48773626.0,14653410.0,14653410.0
09:31:48,42.2,68.80000000000001,31664346.0,16674790.0,16674790.0
09:31:51,41.95,67.80000000000001,3344165.999999998,2214624.999999998,2214624.999999998
09:31:54,41.77,67.08000000000001,-7465910.000000002,-8595451.000000002,-8595451.000000002
09:31:57,41.88,67.52000000000001,6717659.999999998,-5739235.000000002,-5739235.000000002
09:32:00,41.77,67.08000000000001,8057955.0,-8483524.000000002,-8483524.000000002
09:32:03,41.76,67.03999999999999,-3177985.000000002,-12062356.000000002,-12062356.000000002
09:32:06,41.76,67.03999999999999,6139437.0,-12062356.000000002,-12062356.000000002
09:32:09,41.41,65.63999999999999,-167305.99999999907,-18369099.0,-18369099.0
09:32:12,41.36,65.44,-3248625.999999999,-21450419.0,-21450419.0
09:32:15,41.3,65.19999999999999,-6738475.999999999,-24940269.0,-24940269.0
09:32:18,41.2,64.80000000000001,-10940876.0,-29142669.0,-29142669.0
09:32:21,41.12,64.47999999999999,-22709693.0,-34023613.0,-34023613.0
09:32:24,41.11,64.44,-40853767.0,-44913652.0,-44913652.0
09:32:27,41.11,64.44,-31664367.0,-44913652.0,-44913652.0
09:32:30,41.11,64.44,-36602128.0,-44913652.0,-44913652.0
09:32:33,41.11,64.44,-45189748.0,-44913652.0,-44913652.0
09:32:36,41.29,65.16,-37716258.0,-37440162.0,-37440162.0
09:32:39,41.29,65.16,-44088098.0,-37440162.0,-37440162.0
09:32:42,41.29,65.16,-46595498.0,-37440162.0,-37440162.0
09:32:45,41.29,65.16,-50035188.0,-37440162.0,-37440162.0
09:32:48,41.21,64.84,-57603349.0,-42949939.0,-42949939.0
09:32:51,41.21,64.84,-59624729.0,-42949939.0,-42949939.0
09:32:54,41.17,64.68,-47951773.0,-45737148.0,-45737148.0
09:32:57,41.14,64.56,-42670913.0,-51266364.0,-51266364.0
09:33:00,41.12,64.47999999999999,-48726265.0,-54465500.0,-54465500.0
