time,price,true_change_pct,flow_1min,flow_5min,flow_15min
09:30:00,25.56,70.39999999999999,0.0,0.0,0.0
09:30:03,25.58,70.53333333333333,1905709.9999999998,1905709.9999999998,1905709.9999999998
09:30:06,25.6,70.66666666666667,6334510.0,6334510.0,6334510.0
09:30:09,25.6,70.66666666666667,6334510.0,6334510.0,6334510.0
09:30:12,25.58,70.53333333333333,3536058.0000000005,3536058.0000000005,3536058.0000000005
09:30:15,25.58,70.53333333333333,3536058.0000000005,3536058.0000000005,3536058.0000000005
09:30:18,25.58,70.53333333333333,3536058.0000000005,3536058.0000000005,3536058.0000000005
09:30:21,25.58,70.53333333333333,3536058.0000000005,3536058.0000000005,3536058.0000000005
09:30:24,25.56,70.39999999999999,750018.0000000005,750018.0000000005,750018.0000000005
09:30:27,25.58,70.53333333333333,3348946.0000000005,3348946.0000000005,3348946.0000000005
09:30:30,25.56,70.39999999999999,-68425.99999999953,-68425.99999999953,-68425.99999999953
09:30:33,25.5,70.0,-2796925.9999999995,-2796925.9999999995,-2796925.9999999995
09:30:36,25.57,70.46666666666667,-45593.999999999534,-45593.999999999534,-45593.999999999534
09:30:39,25.4,69.33333333333333,-3009773.9999999995,-3009773.9999999995,-3009773.9999999995
09:30:42,25.5,70.0,-39023.999999999534,-39023.999999999534,-39023.999999999534
09:30:45,25.23,68.2,-3717558.0,-3717558.0,-3717558.0
09:30:48,25.22,68.13333333333333,-7765368.0,-7765368.0,-7765368.0
09:30:51,25.19,67.93333333333335,-13229079.0,-13229079.0,-13229079.0
09:30:54,25.0,66.66666666666666,-16446579.0,-16446579.0,-16446579.0
09:30:57,25.0,66.66666666666666,-16446579.0,-16446579.0,-16446579.0
09:31:00,24.95,66.33333333333333,-18013439.0,-18013439.0,-18013439.0
09:31:03,24.85,65.66666666666667,-20391584.0,-20391584.0,-20391584.0
09:31:06,24.78,65.2,-25013182.0,-23107472.0,-23107472.0
09:31:09,24.6,64.00000000000001,-31855242.0,-25520732.0,-25520732.0
09:31:12,24.57,63.800000000000004,-34376124.0,-28041614.0,-28041614.0
09:31:15,24.52,63.46666666666666,-34954076.0,-31418018.0,-31418018.0
09:31:18,24.38,62.53333333333333,-38618390.0,-35082332.0,-35082332.0
09:31:21,24.3,62.0,-42256100.0,-38720042.0,-38720042.0
09:31:24,24.2,61.33333333333333,-45552140.0,-42016082.0,-42016082.0
09:31:27,24.25,61.66666666666667,-36715725.0,-35965707.0,-35965707.0
09:31:30,24.22,61.46666666666666,-48629665.0,-45280719.0,-45280719.0
09:31:33,24.35,62.33333333333334,-38335853.0,-38404279.0,-38404279.0
09:31:36,24.35,62.33333333333334,-35607353.0,-38404279.0,-38404279.0
09:31:39,24.5,63.33333333333333,-33664485.0,-33710079.0,-33710079.0
09:31:42,24.55,63.66666666666667,-26909785.0,-29919559.0,-29919559.0
09:31:45,24.58,63.86666666666666,-24760521.0,-24799545.0,-24799545.0
09:31:48,24.7,64.66666666666666,-18322997.0,-22040555.0,-22040555.0
09:31:51,24.78,65.2,-12025163.0,-19790531.0,-19790531.0
09:31:54,25.0,66.66666666666666,-5386452.0,-18615531.0,-18615531.0
09:31:57,25.0,66.66666666666666,-2168952.0,-18615531.0,-18615531.0
09:32:00,25.2,68.0,-354552.0,-16801131.0,-16801131.0
09:32:03,25.11,67.39999999999999,431387.0,-17582052.0,-17582052.0
09:32:06,25.21,68.06666666666668,6033891.0,-14357693.0,-14357693.0
09:32:09,25.26,68.4,10005201.0,-13102271.0,-13102271.0
09:32:12,25.24,68.26666666666665,11550205.0,-13970527.0,-13970527.0
09:32:15,25.32,68.80000000000001,15797911.0,-12243703.0,-12243703.0
09:32:18,25.5,70.0,21716665.0,-9701353.0,-9701353.0
09:32:21,25.55,70.33333333333334,26776009.0,-8306323.0,-8306323.0
09:32:24,25.55,70.33333333333334,30413719.0,-8306323.0,-8306323.0
09:32:27,25.59,70.6,36278995.0,-5737087.0,-5737087.0
09:32:30,25.63,70.86666666666666,32591706.0,-3374001.0,-3374001.0
09:32:33,25.65,70.99999999999999,43676568.0,-1604151.0,-1604151.0
09:32:36,25.74,71.59999999999998,37507978.0,-896301.0,-896301.0
09:32:39,25.8,72.00000000000001,39329458.0,925179.0,925179.0
09:32:42,25.84,72.26666666666667,36795482.0,3085403.0,3085403.0
09:32:45,25.86,72.39999999999999,34432434.0,4512875.0,4512875.0
09:32:48,25.91,72.73333333333333,30592374.0,5792829.0,5792829.0
09:32:51,25.98,73.2,30540500.0,8499945.0,8499945.0
09:32:54,26.0,73.33333333333333,30274276.0,10483745.0,10483745.0
09:32:57,26.02,73.46666666666667,32317950.0,13702419.0,13702419.0
09:33:00,26.1,74.00000000000001,34228470.0,15612939.0,15612939.0
09:33:03,26.2,74.66666666666666,36129230.0,19328099.0,19328099.0
09:33:06,26.29,75.26666666666667,38371875.0,20789823.0,20789823.0
09:33:09,26.3,75.33333333333334,38382416.0,24024723.0,24024723.0
09:33:12,26.37,75.80000000000001,39911666.0,26809395.0,26809395.0
09:33:15,26.37,75.80000000000001,40779922.0,26809395.0,26809395.0
09:33:18,26.49,76.6,42337858.0,30094155.0,30094155.0
09:33:21,26.5,76.66666666666667,45946158.0,36244805.0,36244805.0
09:33:24,26.52,76.8,50860236.0,42553913.0,42553913.0
09:33:27,26.54,76.93333333333334,53373574.0,45067251.0,45067251.0
09:33:30,26.54,76.93333333333334,50804338.0,45067251.0,45067251.0
09:33:33,26.52,76.8,41583180.0,38209179.0,38209179.0
09:33:36,26.4,75.99999999999999,28725330.0,27121179.0,27121179.0
09:33:39,26.4,75.99999999999999,28017480.0,27121179.0,27121179.0
09:33:42,26.25,75.0,23103750.0,24028929.0,24028929.0
09:33:45,26.02,73.46666666666667,15370042.0,18455445.0,18455445.0
09:33:48,25.96,73.06666666666666,11863174.0,16376049.0,16376049.0
09:33:51,25.87,72.46666666666667,5921445.999999999,11714275.0,11714275.0
09:33:54,25.85,72.33333333333334,1319524.999999999,9819470.0,9819470.0
09:33:57,25.85,72.33333333333334,-664275.0000000009,9819470.0,9819470.0
09:34:00,25.85,72.33333333333334,-3882949.000000001,9819470.0,9819470.0
09:34:03,25.85,72.33333333333334,-5793469.000000001,9819470.0,9819470.0
09:34:06,25.96,73.06666666666666,-5001972.999999999,14326126.0,14326126.0
09:34:09,26.0,73.33333333333333,-4732096.999999999,16057726.0,16057726.0
09:34:12,26.0,73.33333333333333,-7966997.0,16057726.0,16057726.0
09:34:15,26.29,75.26666666666667,-9644860.0,17164535.0,17164535.0
09:34:18,26.3,75.33333333333334,-8285150.0,18524245.0,18524245.0
09:34:21,26.3,75.33333333333334,-11569910.0,18524245.0,18524245.0
09:34:24,26.33,75.53333333333332,-15295567.0,20949238.0,20949238.0
09:34:27,26.33,75.53333333333332,-21604675.0,20949238.0,20949238.0
09:34:30,26.4,75.99999999999999,-21599453.0,23467798.0,23467798.0
09:34:33,26.4,75.99999999999999,-21599453.0,23467798.0,23467798.0
09:34:36,26.43,76.2,-10311713.0,27897466.0,27897466.0
09:34:39,26.46,76.4,1834687.0,28955866.0,28955866.0
09:34:42,26.49,76.6,5299579.0,32420758.0,32420758.0
09:34:45,26.48,76.53333333333333,6204581.0,30233510.0,30233510.0
09:34:48,26.46,76.4,7319555.0,25775000.0,25775000.0
09:34:51,26.43,76.2,3182615.0,19558664.0,19558664.0
09:34:54,26.4,75.99999999999999,-138970.99999999907,11575304.0,11575304.0
09:34:57,26.35,75.66666666666667,-1677570.9999999995,8141899.0,8141899.0
09:35:00,26.33,75.53333333333332,-4384295.0,5435175.0,5435175.0
09:35:03,26.01,73.4,-6993098.0,2826371.9999999995,2826371.9999999995
09:35:06,26.2,74.66666666666666,-6474338.0,1439421.9999999995,3345131.9999999995
09:35:09,26.3,75.33333333333334,-9255714.0,-1264098.0,5070412.0
09:35:12,26.3,75.33333333333334,-10987314.0,-1264098.0,5070412.0
09:35:15,26.31,75.39999999999999,-9040374.0,3481293.999999999,7017352.0
09:35:18,26.34,75.6,-8569417.0,5059059.999999999,8595118.0
09:35:21,26.35,75.66666666666667,-8930462.0,6057724.999999999,9593783.0
09:35:24,26.39,75.93333333333334,-7616240.0,7371946.999999999,10908005.0
