code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source,m,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,limit_up_count
70,特发信息,19.5,9.98307991027832,通信设备,3,92500.0,100403.0,1.0,20260212,akshare_em,,,,,,,,,,,
1896,豫能控股,8.29,9.94694995880127,电力,2,92500.0,92500.0,0.0,20260212,akshare_em,,,,,,,,,,,
603757,大元泵业,44.45,9.997525215148926,通用设备,1,92501.0,92501.0,0.0,20260212,akshare_em,,,,,,,,,,,
600589,大位科技,13.86,10.0,IT服务Ⅱ,4,92502.0,92502.0,0.0,20260212,akshare_em,,,,,,,,,,,
603138,海量数据,22.62,10.019454956054688,IT服务Ⅱ,2,92502.0,101925.0,2.0,20260212,akshare_em,,,,,,,,,,,
603533,掌阅科技,34.2,10.003216743469238,数字媒体,4,92503.0,92503.0,0.0,20260212,akshare_em,,,,,,,,,,,
605033,美邦股份,26.06,10.004220962524414,农化制品,2,92503.0,92503.0,0.0,20260212,akshare_em,,,,,,,,,,,
600397,江钨装备,14.31,9.992313385009766,专用设备,2,93000.0,93000.0,0.0,20260212,akshare_em,,,,,,,,,,,
2272,川润股份,18.12,10.018214225769045,通用设备,1,93000.0,93000.0,0.0,20260212,akshare_em,,,,,,,,,,,
600821,金开新能,6.51,9.966216087341309,电力,1,93000.0,93000.0,0.0,20260212,akshare_em,,,,,,,,,,,
603950,长源东谷,39.68,10.00831699371338,汽车零部,1,93046.0,100128.0,2.0,20260212,akshare_em,,,,,,,,,,,
2248,华东数控,14.01,9.968603134155272,通用设备,1,93224.0,95200.0,2.0,20260212,akshare_em,,,,,,,,,,,
2951,金时科技,17.71,10.0,其他电源,2,93657.0,93657.0,0.0,20260212,akshare_em,,,,,,,,,,,
2323,雅博股份,2.62,10.084033966064451,专业工程,4,93712.0,93712.0,0.0,20260212,akshare_em,,,,,,,,,,,
603256,宏和科技,73.27,9.998498916625977,玻璃玻纤,2,93756.0,93835.0,1.0,20260212,akshare_em,,,,,,,,,,,
601872,招商轮船,13.22,9.983360290527344,航运港口,1,93841.0,100032.0,3.0,20260212,akshare_em,,,,,,,,,,,
605006,山东玻纤,10.2,10.032362937927246,玻璃玻纤,2,94111.0,94111.0,0.0,20260212,akshare_em,,,,,,,,,,,
