buy_count,description,name,code,yesterday_count,comments_count,id,total_fund,choice_count,date,source
53,,平潭发展,000592,40,1,7495,2130.6509999999994,0,20251212,wanzhu_api
49,,航天动力,600343,31,0,2251,2004.5624000000003,0,20251212,wanzhu_api
48,,航天发展,000547,47,0,732,839.8399999999998,0,20251212,wanzhu_api
44,,顺灏股份,002565,23,0,2031,331.63699999999994,0,20251212,wanzhu_api
32,,乾照光电,300102,22,0,1745,515.63,0,20251212,wanzhu_api
26,,永辉超市,601933,28,0,9472,168.49999999999997,0,20251212,wanzhu_api
23,,西部材料,002149,26,0,2316,106.75000000000001,0,20251212,wanzhu_api
23,,超捷股份,301005,15,0,487,966.5600000000002,0,20251212,wanzhu_api
21,,东百集团,600693,17,0,9217,148.26999999999995,0,20251212,wanzhu_api
18,,再升科技,603601,6,0,9687,593.4589,0,20251212,wanzhu_api
17,,天力复合,920576,10,0,20368,272.08000000000004,0,20251212,wanzhu_api
17,,雪人集团,002639,2,0,1391,131.66,0,20251212,wanzhu_api
17,,通光线缆,300265,5,0,8377,339.21,0,20251212,wanzhu_api
14,,长川科技,300604,6,0,8576,241.25,0,20251212,wanzhu_api
14,,龙洲股份,002682,17,0,4,80.93999999999998,0,20251212,wanzhu_api
12,,博纳影业,001330,7,0,14267,449.21000000000004,0,20251212,wanzhu_api
12,,永鼎股份,600105,9,0,1675,57.33,0,20251212,wanzhu_api
12,,航天机电,600151,7,0,8949,207.29,0,20251212,wanzhu_api
11,,四川金顶,600678,3,0,9210,73.52,0,20251212,wanzhu_api
11,,赛微电子,300456,13,0,36,185.12000000000003,0,20251212,wanzhu_api
11,,国机重装,601399,15,0,1292,90.19000000000001,0,20251212,wanzhu_api
11,,合富中国,603122,16,0,20020,308.42,0,20251212,wanzhu_api
10,,中国铀业,001280,7,0,23822,1504.5000000000002,0,20251212,wanzhu_api
10,,香农芯创,300475,11,0,2387,231.4699,0,20251212,wanzhu_api
9,,上海瀚讯,300762,9,0,8676,135.72,0,20251212,wanzhu_api
9,,国晟科技,603778,18,0,896,739.52,0,20251212,wanzhu_api
9,,淳中科技,603516,10,0,1185,2057.5099999999998,0,20251212,wanzhu_api
9,,天银机电,300342,5,0,8423,288.65999999999997,0,20251212,wanzhu_api
9,,中国西电,601179,0,0,451,61.93000000000001,0,20251212,wanzhu_api
9,,海峡创新,300300,11,0,8400,326.53999999999996,0,20251212,wanzhu_api
8,,罗牛山,000735,9,0,1206,57.290000000000006,0,20251212,wanzhu_api
8,,跃岭股份,002725,15,0,38,18.33,0,20251212,wanzhu_api
8,,陕西华达,301517,2,0,20502,76.19,0,20251212,wanzhu_api
8,,雷科防务,002413,10,1,1834,41.870000000000005,0,20251212,wanzhu_api
8,,华菱线缆,001208,8,0,1345,536.6,0,20251212,wanzhu_api
8,,特发信息,000070,10,2,7420,14.84,0,20251212,wanzhu_api
8,,杰瑞股份,002353,4,0,7849,302.71,0,20251212,wanzhu_api
