date,code,name,rank,rank_change,sector,holder_count,holder_count_change,holding_amount,amount_change
2025-11-17,001270.SZ,*ST铖昌,80,17,商业航天,5,1,132.09,2.66
2025-11-18,001270.SZ,*ST铖昌,74,18,商业航天,5,1,132.09,2.66
2026-02-04,001270.SZ,*ST铖昌,61,新进,商业航天,6,6,63.13,63.13
2026-02-05,001270.SZ,*ST铖昌,110,-42,商业航天,4,-2,58.54,-4.59
2026-02-07,001270.SZ,*ST铖昌,80,17,商业航天,5,1,132.09,2.66
2026-02-08,001270.SZ,*ST铖昌,74,18,商业航天,5,1,132.09,2.66
2026-02-11,001270.SZ,*ST铖昌,97,65,商业航天,4,1,133.69,22.45
2026-02-12,001270.SZ,*ST铖昌,88,9,商业航天,4,0,129.43,-4.26
2026-02-13,001270.SZ,*ST铖昌,74,18,商业航天,5,1,132.09,2.66
2026-02-05,000821.SZ,ST京机,37,154,工业母机/机器人,9,7,310.37,23.78
2026-02-06,000821.SZ,ST京机,41,-5,工业母机/机器人,8,-1,536.22,225.85
2026-02-09,000821.SZ,ST京机,48,-5,工业母机/机器人,8,0,203.77,-332.45
2026-02-11,000711.SZ,ST京蓝,102,61,基础建设/环保,4,1,5.55,-13.88
2026-02-12,000711.SZ,ST京蓝,109,-7,基础建设/环保,4,0,15.89,10.34
2026-02-05,300152.SZ,ST新动力,99,新进,基础建设/环保,4,4,19.78,19.78
2026-02-04,002129.SZ,TCL中环,36,新进,光伏/半导体设备,11,11,352.72,352.72
2026-02-05,002129.SZ,TCL中环,64,-29,光伏/半导体设备,5,-6,9.02,-343.7
2026-02-09,002129.SZ,TCL中环,57,123,光伏/半导体设备,8,6,16.35,9.35
2026-02-10,002129.SZ,TCL中环,71,-23,光伏/半导体设备,6,-2,25.1,8.75
2026-02-11,002129.SZ,TCL中环,52,19,光伏/半导体设备,6,0,8.02,-17.08
2026-02-04,603172.SH,万丰股份,68,新进,化工,6,6,23.81,23.81
2025-11-17,300624.SZ,万兴科技,111,-34,AI应用/国产软件,3,-2,65.61,-34.68
2025-11-19,300624.SZ,万兴科技,111,-34,AI应用/国产软件,3,-2,65.61,-34.68
2026-02-09,300624.SZ,万兴科技,27,新进,AI应用/国产软件,12,12,111.09,111.09
2026-02-10,300624.SZ,万兴科技,50,-25,AI应用/国产软件,8,-4,94.86,-16.23
2026-02-12,300624.SZ,万兴科技,71,70,AI应用/国产软件,5,2,100.29,57.7
2025-11-17,000559.SZ,万向钱潮,20,56,机器人/汽车零部件,13,8,43.86,32.86
2025-11-18,000559.SZ,万向钱潮,20,49,机器人/汽车零部件,13,8,43.86,32.86
2026-02-10,000559.SZ,万向钱潮,76,300,机器人/汽车零部件,6,5,41.01,39.06
2026-02-11,000559.SZ,万向钱潮,31,45,机器人/汽车零部件,10,4,41.02,0.01
2026-02-12,000559.SZ,万向钱潮,82,-51,机器人/汽车零部件,5,-5,11.0,-30.02
2026-02-13,000559.SZ,万向钱潮,20,49,机器人/汽车零部件,13,8,43.86,32.86
2025-11-17,300552.SZ,万集科技,117,新进,智能驾驶/低空经济,3,3,41.16,41.16
2025-11-18,300552.SZ,万集科技,117,新进,智能驾驶/低空经济,3,3,41.16,41.16
2026-02-09,601360.SH,三六零,21,103,AI应用,13,10,261.69,238.8
2026-02-10,601360.SH,三六零,47,-26,AI应用,8,-5,34.19,-227.5
2026-02-12,601360.SH,三六零,120,86,AI应用,3,1,20.47,-0.16
2026-02-04,002112.SZ,三变科技,54,新进,储能/电气设备,7,7,36.88,36.88
2026-02-06,002112.SZ,三变科技,65,72,储能/电气设备,6,3,128.84,-0.06
2026-02-09,002112.SZ,三变科技,41,15,储能/电气设备,9,3,115.37,-13.47
2026-02-10,002112.SZ,三变科技,46,-3,储能/电气设备,8,-1,68.17,-47.2
2026-02-04,601116.SH,三江购物,100,新进,零售,4,4,19.64,19.64
2026-02-05,601116.SH,三江购物,38,67,零售,9,5,242.41,222.77
2026-02-06,601116.SH,三江购物,33,4,零售,10,1,300.72,58.31
2026-02-10,002115.SZ,三维通信,68,511,商业航天/AI应用,6,5,119.53,117.24
2025-11-18,002050.SZ,三花智控,110,138,机器人/汽车零部件,3,1,628.92,625.76
2025-11-22,002050.SZ,三花智控,110,138,机器人/汽车零部件,3,1,628.92,625.76
2026-02-04,300775.SZ,三角防务,52,新进,军工/商业航天,8,8,381.01,381.01
2026-02-05,300775.SZ,三角防务,76,-26,军工/商业航天,5,-3,179.92,-201.09
2026-02-06,300775.SZ,三角防务,108,-27,军工/商业航天,4,-1,241.48,61.56
2026-02-09,300775.SZ,三角防务,88,25,军工/商业航天,5,1,485.63,244.15
2026-02-10,300775.SZ,三角防务,40,53,军工/商业航天,10,5,738.7,253.07
2026-02-11,300775.SZ,三角防务,120,-80,军工/商业航天,3,-7,299.97,-438.73
2026-02-12,300775.SZ,三角防务,79,41,军工/商业航天,5,2,277.52,-22.45
2025-11-17,300762.SZ,上海瀚讯,116,25,商业航天/军工,3,0,28.13,4.22
2025-11-19,300762.SZ,上海瀚讯,116,25,商业航天/军工,3,0,28.13,4.22
2026-02-10,601595.SH,上海电影,28,新进,文化传媒/零售,12,12,121.64,121.64
